depth,Att0,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35
273.3092,0.950576,0.978837,0.943962,0.988654,1.008201,1.013187,0.968305,1.068381,0.985744,1.282639,1.252347,1.118605,0.98886,0.964423,0.947703,0.965598,1.011773,0.867865,0.902221,0.958767,0.923875,0.928644,0.966601,0.996968,0.978674,0.958763,1.010901,0.900826,0.948486,1.031916,1.083452,1.063703,1.142211,1.092777,0.926593,0.914243
273.3472,0.916733,0.764157,0.834662,0.973822,1.02183,1.092394,0.976808,0.976027,1.047166,1.099494,1.171225,1.155563,1.073407,0.935742,0.97427,1.04568,0.996284,0.874067,0.874116,0.975727,1.02884,0.917391,0.96549,0.959585,1.033207,0.942779,1.016309,0.984877,0.94916,0.919267,1.06546,1.094814,1.089167,0.935287,0.89934,0.967598
273.3854,0.916733,0.764157,0.834662,0.973822,1.02183,1.092394,0.976808,0.976027,1.047166,1.099494,1.171225,1.155563,1.073407,0.935742,0.97427,1.04568,0.996284,0.874067,0.874116,0.975727,1.02884,0.917391,0.96549,0.959585,1.033207,0.942779,1.016309,0.984877,0.94916,0.919267,1.06546,1.094814,1.089167,0.935287,0.89934,0.967598
273.4235,0.916733,0.764157,0.834662,0.973822,1.02183,1.092394,0.976808,0.976027,1.047166,1.099494,1.171225,1.155563,1.073407,0.935742,0.97427,1.04568,0.996284,0.874067,0.874116,0.975727,1.02884,0.917391,0.96549,0.959585,1.033207,0.942779,1.016309,0.984877,0.94916,0.919267,1.06546,1.094814,1.089167,0.935287,0.89934,0.967598
273.4616,0.930854,0.952701,1.054254,1.060808,1.079558,1.04616,0.992169,0.967176,1.011486,1.074407,1.055771,1.062388,1.09687,0.954378,0.888021,0.99571,0.936932,0.850465,0.936825,0.955944,1.010188,0.920678,0.956188,0.933807,0.969099,0.963611,0.985366,1.024925,0.999564,1.044605,1.058452,1.032016,1.02958,0.889679,0.886871,0.953979
273.4996,0.930854,0.952701,1.054254,1.060808,1.079558,1.04616,0.992169,0.967176,1.011486,1.074407,1.055771,1.062388,1.09687,0.954378,0.888021,0.99571,0.936932,0.850465,0.936825,0.955944,1.010188,0.920678,0.956188,0.933807,0.969099,0.963611,0.985366,1.024925,0.999564,1.044605,1.058452,1.032016,1.02958,0.889679,0.886871,0.953979
273.5377,0.954807,1.073992,1.042781,1.010651,0.993866,0.997828,1.00247,1.063579,1.010239,1.045815,0.976024,1.024892,1.046157,0.95593,0.943391,0.961515,0.990273,0.94693,0.910436,0.901957,0.933795,0.922562,0.946134,0.983371,1.028455,0.990056,0.982509,0.996179,0.974302,1.013651,1.068804,1.021266,1.048699,0.881878,0.714427,0.802831
273.5759,0.954807,1.073992,1.042781,1.010651,0.993866,0.997828,1.00247,1.063579,1.010239,1.045815,0.976024,1.024892,1.046157,0.95593,0.943391,0.961515,0.990273,0.94693,0.910436,0.901957,0.933795,0.922562,0.946134,0.983371,1.028455,0.990056,0.982509,0.996179,0.974302,1.013651,1.068804,1.021266,1.048699,0.881878,0.714427,0.802831
273.614,0.954807,1.073992,1.042781,1.010651,0.993866,0.997828,1.00247,1.063579,1.010239,1.045815,0.976024,1.024892,1.046157,0.95593,0.943391,0.961515,0.990273,0.94693,0.910436,0.901957,0.933795,0.922562,0.946134,0.983371,1.028455,0.990056,0.982509,0.996179,0.974302,1.013651,1.068804,1.021266,1.048699,0.881878,0.714427,0.802831
273.6521,1.039303,1.070705,1.078896,0.980509,0.85939,0.979392,0.974295,0.970004,0.951538,0.96315,0.894706,1.029582,0.97266,0.939364,0.99881,0.942668,0.957761,0.93213,0.938738,0.911072,0.911845,0.865312,0.933785,0.982266,0.965588,0.925286,1.008415,0.965199,0.976851,0.981581,1.014212,0.989689,0.973071,0.915119,0.743,0.897269
273.6901,1.039303,1.070705,1.078896,0.980509,0.85939,0.979392,0.974295,0.970004,0.951538,0.96315,0.894706,1.029582,0.97266,0.939364,0.99881,0.942668,0.957761,0.93213,0.938738,0.911072,0.911845,0.865312,0.933785,0.982266,0.965588,0.925286,1.008415,0.965199,0.976851,0.981581,1.014212,0.989689,0.973071,0.915119,0.743,0.897269
